999 3989 
786 210 35 
503 797 35 
247 543 61 
259 171 72 
233 979 87 
246 576 28 
524 155 99 
790 104 63 
766 849 50 
788 167 48 
517 378 12 
518 347 97 
256 281 11 
788 176 12 
520 293 37 
244 659 92 
779 459 93 
764 926 27 
1 5 9 
235 944 23 
526 122 43 
248 552 62 
521 284 83 
528 69 71 
793 54 82 
259 229 59 
520 330 28 
238 881 79 
780 466 73 
261 172 43 
784 345 50 
518 400 86 
523 246 8 
266 25 44 
261 192 41 
264 99 72 
500 975 87 
236 969 10 
786 307 85 
524 240 12 
774 696 91 
531 39 79 
772 760 45 
779 544 12 
267 35 23 
772 772 100 
527 177 91 
519 426 47 
507 800 51 
788 282 6 
770 843 14 
248 642 14 
768 906 30 
258 334 71 
522 343 60 
797 10 60 
777 637 93 
515 570 88 
512 667 94 
238 970 100 
3 64 95 
2 96 24 
525 269 52 
256 417 4 
515 581 75 
778 622 64 
518 491 54 
770 871 46 
504 926 39 
520 432 40 
774 751 53 
524 310 20 
782 507 40 
244 803 33 
238 998 62 
529 170 36 
526 267 6 
767 992 80 
245 791 68 
532 87 19 
771 872 58 
512 711 84 
242 893 16 
268 90 20 
517 565 8 
252 589 68 
774 792 98 
524 353 6 
781 578 70 
534 44 66 
770 920 69 
244 848 1 
248 728 13 
511 770 98 
6 43 40 
515 653 18 
791 289 50 
511 778 19 
516 624 38 
249 710 100 
775 794 40 
524 384 8 
790 330 39 
257 476 57 
769 989 57 
776 774 25 
263 294 28 
798 94 41 
789 374 78 
527 305 12 
534 89 30 
769 997 15 
532 154 11 
2 206 4 
271 61 61 
508 906 7 
272 35 14 
531 198 49 
264 285 71 
268 162 40 
523 453 98 
244 912 5 
792 311 43 
258 488 79 
1 268 64 
512 817 39 
524 446 5 
4 183 35 
268 191 73 
264 317 74 
524 449 60 
538 16 73 
776 833 51 
526 395 96 
534 148 15 
521 554 42 
6 137 96 
261 426 10 
772 969 48 
512 839 29 
782 664 67 
786 542 74 
772 977 44 
520 601 66 
526 415 45 
787 517 61 
528 358 20 
531 267 55 
256 601 47 
248 851 48 
253 697 97 
791 405 7 
791 408 26 
253 703 52 
252 738 29 
